C_imb,tau,snowball_num,end_time,LIP_volume_end,t_max_used
0.17240541740171794,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.18316156369872846,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.19458877175763892,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.2067289082355074,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.21962645179483306,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.23332865606312544,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.24788572275930698,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.26335098562124254,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.279781105808265,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.29723627949460585,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.3157804584143062,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.3354815841656335,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.356411837133441,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.3786479009414648,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.4022712434034503,0.4128639534747324,0,10.009999999999831,0.0,10.002337655858234
0.42736841500244843,0.4128639534747324,0,10.02999999999983,0.0,10.027324117878665
0.45403136599184135,0.4128639534747324,0,10.05999999999983,0.0,10.052310579899096
0.48235778327988127,0.4128639534747324,0,10.07999999999983,0.0,10.077297041919527
0.5124514483320121,0.4128639534747324,0,10.109999999999829,0.0,10.102283503939958
0.5444226174022428,0.4128639534747324,0,10.129999999999828,0.0,10.127269965960389
0.578388425486656,0.4128639534747324,0,10.159999999999828,0.0,10.152256427980822
0.6144733154790399,0.4128639534747324,0,10.179999999999827,0.0,10.177242890001253
0.6528094941009757,0.4128639534747324,0,10.209999999999827,0.0,10.202229352021684
0.6935374162767991,0.4128639534747324,0,10.229999999999826,0.0,10.227215814042115
0.7368062997280774,0.4128639534747324,0,10.259999999999826,0.0,10.252202276062546
0.7827746716729558,0.4128639534747324,0,10.279999999999825,0.0,10.277188738082979
0.8316109496333534,0.4128639534747324,0,10.309999999999825,0.0,10.30217520010341
0.8834940584779543,0.4128639534747324,0,10.329999999999824,0.0,10.32716166212384
0.9386140859616947,0.4128639534747324,0,10.359999999999824,0.0,10.352148124144271
0.9971729791634937,0.4128639534747324,0,10.379999999999823,0.0,10.377134586164702
1.059385284373814,0.4128639534747324,0,10.409999999999823,0.0,10.402121048185133
1.1254789331428305,0.4128639534747324,0,10.429999999999822,0.0,10.427107510205566
1.1956960773691057,0.4128639534747324,0,10.459999999999821,0.0,10.452093972225997
1.2702939764883447,0.4128639534747324,0,10.479999999999821,0.0,10.477080434246428
1.3495459400126866,0.4128639534747324,0,10.50999999999982,0.0,10.502066896266859
1.4337423288737734,0.4128639534747324,0,10.52999999999982,0.0,10.52705335828729
